AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
Karapakkam,1004,2011-04-05,131,1,1,3,AbNormal,Yes,1967-05-15,Commercial,AllPub,Paved,A,4.0,3.9,4.9,4.33,380000,144400,7600000
Anna Nagar,1986,2006-12-19,26,2,1,5,AbNormal,No,1995-12-22,Commercial,AllPub,Gravel,RH,4.9,4.2,2.5,3.765,760122,304049,21717770
Adyar,909,2012-04-02,70,1,1,3,AbNormal,Yes,1992-09-02,Commercial,ELO,Gravel,RL,4.1,3.8,2.2,3.09,421094,92114,13159200
Velachery,1855,2010-03-13,14,3,2,5,Family,No,1988-03-18,Others,NoSewr ,Paved,I,4.7,3.9,3.6,4.01,356321,77042,9630290
Karapakkam,1226,2009-05-10,84,1,1,3,AbNormal,Yes,1979-10-13,Others,AllPub,Gravel,C,3.0,2.5,4.1,3.29,237000,74063,7406250
Chrompet,1220,2014-11-09,36,2,1,4,Partial,No,2009-12-09,Commercial,NoSeWa,No Access,RH,4.5,2.6,3.1,3.32,409027,198316,12394750
Chrompet,1167,2007-05-04,137,1,1,3,Partial,No,1979-12-04,Others,AllPub,No Access,RL,3.6,2.1,2.5,2.67,263152,33955,8488790
Velachery,1847,2006-03-13,176,3,2,5,Family,No,1996-03-15,Commercial,AllPub,Gravel,RM,2.4,4.5,2.1,3.26,604809,235204,16800250
Chrompet,771,2011-06-04,175,1,1,2,AdjLand,No,1977-04-14,Others,NoSewr ,Paved,RM,2.9,3.7,4.0,3.55,257578,33236,8308970
Velachery,1635,2006-06-22,74,2,1,4,AbNormal,No,1991-06-26,Others,ELO,No Access,I,3.1,3.1,3.3,3.16,323346,121255,8083650
Chrompet,1203,2006-10-19,78,2,1,4,AdjLand,Yes,1978-10-26,Commercial,AllPub,No Access,RM,4.0,3.2,4.5,3.83,403326,119504,14938000
Chrompet,1054,2009-02-16,143,1,1,3,Partial,No,1972-02-26,Others,NoSewr ,Gravel,RM,2.2,3.1,3.3,2.89,245693,141746,9449730
Chrompet,1196,2010-11-02,137,1,1,3,Family,No,1991-02-16,Others,NoSewr ,No Access,RL,2.1,2.5,2.1,2.26,289554,35097,8774370
Adyar,1056,2007-01-01,83,1,1,3,Partial,Yes,1981-07-01,Others,NoSewr ,Paved,RH,2.2,3.4,3.7,3.19,319141,37546,9386490
Velachery,1865,2010-11-11,157,3,2,5,Family,No,1956-11-24,Commercial,NoSewr ,Paved,RM,4.8,2.2,4.9,3.66,619987,294494,15499680
Karapakkam,1639,2009-04-11,175,2,2,4,Normal Sale,Yes,1991-09-11,House,ELO,Gravel,I,2.3,3.2,4.8,3.57,285648,77904,8656000
Chrompet,796,2011-12-25,134,1,1,2,AdjLand,Yes,1975-03-01,Commercial,AllPub,No Access,RL,3.5,4.6,4.7,4.3,316464,130951,10912550
Adyar,1136,2008-05-04,69,1,1,3,Normal Sale,Yes,1978-04-13,Others,AllPub,Paved,A,4.6,2.6,2.9,3.35,323214,49725,8287550
Anna Nagar,1902,2012-02-07,168,2,1,5,Family,Yes,1970-07-13,Commercial,ELO,Paved,RL,4.5,4.9,4.9,4.76,742113,212032,21203240
Chrompet,1069,2013-04-19,53,1,1,3,AbNormal,Yes,2009-04-20,Others,NoSewr ,Paved,RM,2.8,2.7,4.9,3.39,283544,43622,10905530
Chrompet,931,2008-12-13,96,1,1,3,AbNormal,Yes,1986-12-19,Others,ELO,Paved,RL,4.2,3.1,3.1,3.43,248021,27558,9185970
KK Nagar,2010,2009-06-05,114,3,2,5,Partial,No,1999-09-05,Others,NoSewr ,Gravel,RH,3.4,4.5,3.4,3.73,327762,262210,10925400
Chrompet,1074,2010-07-23,100,1,1,3,AbNormal,No,1994-07-27,Others,NoSewr ,Gravel,RL,3.0,3.4,4.9,3.73,288821,86646,9627380
T Nagar,1972,2013-05-13,111,2,1,5,AdjLand,No,2008-05-14,Others,NoSewr ,No Access,RH,4.1,4.4,2.8,3.59,487297,167073,13922760
T Nagar,1685,2014-07-19,105,1,1,4,Family,No,1980-07-27,House,NoSewr ,Gravel,RM,2.8,4.4,4.0,3.74,352830,176415,12601080
Adyar,1130,2011-10-11,29,1,1,3,Family,Yes,1981-11-17,Commercial,ELO,Paved,RH,2.3,2.5,2.2,2.29,468417,53533,13383350
Karapakkam,1301,2010-12-11,59,1,1,3,Normal Sale,Yes,2003-11-14,Others,NoSewr ,Gravel,C,2.8,2.7,3.8,3.17,357283,71457,7939625
Adyar,730,2011-08-19,185,1,1,2,AdjLand,Yes,1972-08-28,House,ELO,Gravel,RL,2.7,4.6,4.9,4.18,265449,53090,8848285
T Nagar,1806,2013-08-18,138,2,1,5,Family,No,1978-08-27,House,NoSeWa,Paved,RH,4.1,5.0,3.0,3.83,430852,113382,11338200
Anna Nagar,1981,2009-01-04,173,2,1,5,AdjLand,No,2000-03-04,House,ELO,No Access,RL,2.0,3.1,3.2,2.755,373300,218831,12872430
Adyar,868,2011-08-15,15,1,1,3,Normal Sale,No,2001-08-17,Others,NoSeWa,Gravel,RL,2.3,2.1,2.0,2.11,325514,72336,9042050
